username,password_hash
alice_admin,a606c88028612aa3324302031a9e87244f7b000c
bob_analyst,cd8143dfbbad1502cb99357d106ab0d869389930
carol_dev,12267e68153622ce5c4f8d09636d2aca466754de
dave_sec,c6e1c7aeae252a7237e8910638bc0921f70ec8fc
eve_tester,07a781199e5cbff59b2fc1c0dd50af9cc51e4eab
frank_ops,eec8638189ca07d537bb87662a8b3b62a8e679c9
grace_lead,1d3d2c44d6436edb5157c47d798b3fb69e0c6f20
heidi_audit,9c9247484b3c2e4c54cd7901ec497dd1d5cbfdc1
ivan_net,480549c67b000aa3a8e818bcdb26168f9bfd2c74
judy_hr,f98b88f9a1f558b2ef29a8351dc040c5bdba7d82
